val	data0	data1	data2	data3	data4	data5	data6	data7	data8	data9	data10	data11	data12	data13	data14	data15	data16	data17	data18	data19	data20	data21	data22	data23	data24	data25	data26	data27	data28	data29	data30	data31	data32	data33	data34	data35	data36	data37	data38	data39	data40	data41	data42	data43	data44	data45	data46	data47	data48	data49	data50	data51	data52	data53	data54	data55	data56	data57	data58	data59	data60	data61	data62	data63	data64	data65	data66	data67	data68	data69	
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	
class
l6	35	65	21	57	30	36	0	0	0	0	0	1	1	1	2	2	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	3	6	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	2	2	2	1	1	1	1	2	2	0
l4	48	92	24	52	44	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l5	48	87	21	58	39	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	3	1	1	1	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	1
l6	41	73	23	52	32	29	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	4	6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	2	1	1	1	2	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l10	27	67	21	57	40	36	0	1	1	2	3	2	0	0	4	6	6	0	0	0	0	0	0	0	0	4	6	6	1	1	6	6	2	0	0	0	0	0	0	0	0	0	3	2	2	2	2	2	3	3	3	5	0	0	1	2	3	2	2	1	2	3	2	2	2	2	3	3	0	0
l11	20	58	21	60	38	39	2	2	2	2	0	0	1	2	2	3	3	3	5	4	0	0	3	3	5	2	1	1	3	3	3	1	1	0	0	0	0	0	1	2	0	1	3	2	1	1	4	3	5	6	3	0	0	0	3	2	2	2	2	3	3	3	1	1	3	0	0	0	0	0
l3	29	53	22	60	24	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0
l9	37	62	21	58	25	37	2	2	2	2	2	2	1	1	1	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	1	0	1	1	1	1	2	2	2
l0	39	66	8	42	27	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l1	46	71	21	51	25	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	1	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	20	71	22	55	51	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	1	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1
l2	40	60	21	51	20	30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	6	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	47	71	6	42	24	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	36	67	21	60	31	39	2	2	2	2	2	1	1	1	1	2	3	3	2	1	0	0	2	0	0	0	0	0	0	0	1	1	2	2	4	2	0	0	3	5	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	2	2	2	3	2	2	1	2	1	1	3	0
l0	36	63	22	42	27	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	31	76	21	52	45	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l4	32	68	21	60	36	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	1	1	1	1	1	1	2	6	5	2	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	3	3	2	3
l5	35	78	21	62	43	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	4	2	4	3	1	1	0	1	1	2	4	0	0	0	0	0	0	0	0	0	0	2	4	7	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	1	1
l6	39	70	21	43	31	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l7	51	75	6	58	24	52	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	2	2	2	1	1	1	1	1	3	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	1	1	1	1	1	2	2	3	2	2	0	0	0
l8	35	77	6	62	42	56	0	0	0	0	0	1	1	0	1	1	1	2	1	1	7	0	1	1	1	1	1	1	1	1	2	1	2	1	2	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	8	3	5	1	1	1	1	1	1	1	1	2	2	1	3	1	0
l2	46	79	21	56	33	35	4	1	1	2	1	1	1	1	1	2	1	0	0	0	0	0	1	1	0	0	0	0	0	2	2	5	3	0	0	0	0	0	0	0	1	1	1	1	5	3	2	0	0	0	0	0	1	1	0	0	0	0	0	0	2	2	2	2	2	1	2	1	0	0
l7	50	71	21	54	21	33	0	0	0	0	0	0	1	4	3	0	0	0	0	0	0	0	2	2	2	1	1	3	8	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	2	1	1	1	2	5	7	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
l8	47	70	21	54	23	33	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6	1	1	1	1	1	4	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	3	6	4	2	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
l6	40	54	21	56	14	35	4	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	4	2	2	1	1	2	2	2	4	7	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	6	8	0	0	1	1	1	2	2	2	2	2	1	1	2	2	2	0
l7	37	64	21	57	27	36	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	2	2	1	1	1	1	3	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	1	0	0	0	0	0	1	1	1	2	2	2	1	0	0	0	1
l8	36	66	21	57	30	36	0	0	0	0	0	0	1	2	1	1	5	0	0	0	0	0	3	1	1	1	1	2	2	3	2	3	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	1	2	5	4	0	0	1	2	1	1	1	1	2	2	2	1	0	0	0	0
l6	44	76	21	63	32	42	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	3	0	0	0	2	2	0	2	1	1	0	0	1	2	1	2	4
l4	41	77	21	51	36	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l5	37	81	21	59	44	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	3	3	2	1	1	1	1	1	3	1	0	0	0	0	0	0	0	1	1	0	0	0	3	5	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	1	0
l6	48	75	22	61	27	39	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	0	3	2	1	1	1	1	1	1	1	1	2	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5	0	0	0	0	0	2	3	2	1	1	1	1	2	2	2	3
l10	21	61	21	57	40	36	1	2	2	3	2	0	0	0	5	6	5	0	0	0	0	0	0	0	0	5	6	4	1	1	5	5	0	0	0	0	0	0	0	0	0	0	3	3	2	2	3	2	3	2	2	5	0	0	1	1	2	3	3	2	2	2	2	2	2	2	2	0	0	0
l11	19	53	21	61	34	40	2	1	1	1	3	5	0	0	1	2	2	3	4	5	0	0	0	0	0	4	6	5	1	1	5	4	3	2	2	0	0	0	0	1	4	2	2	1	1	2	2	3	3	1	5	3	0	0	3	3	1	1	2	3	2	2	2	3	5	5	1	0	0	0
l3	44	72	21	53	28	32	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	48	72	21	48	24	27	2	1	3	6	4	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	2	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	2	2	2	2	2	2	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
